observation,marker,gpu_ns,gpu_sample_count
9,VSM.LayoutRemap,2560,1
9,VSM.InvalidateStatic,2304,1
9,VSM.StaticCasterCull,133888,1
9,VSM.DynamicCasterCull,0,1
9,VSM.PageCull,114432,1
9,VSM.StaticRasterClear,0,1
9,VSM.StaticRasterDraw,4801280,1
9,VSM.DynamicRasterClear,12800,1
9,VSM.DynamicRasterDraw,0,1
9,VSM.StaticRaster,4801536,1
9,VSM.UnityCompatibilityRaster,0,0
9,VSM.Resolve,4741632,1
9,VSM.ResolveTrace,4602368,1
9,VSM.FilterHorizontal,65536,1
9,VSM.FilterVertical,0,0
9,VSM.FilterTemporalVertical,72960,1
9,VSM.ResetFeedback,2048,1
10,VSM.MarkReceiverPages,532224,1
10,VSM.Allocate,2105344,1
10,VSM.ClearPhysicalPages,266752,1
10,VSM.PageOccupancy,60928,1
10,VSM.FinalizePages,2048,1
10,VSM.DynamicRaster,11520,1
10,VSM.LayoutRemap,2304,1
10,VSM.InvalidateStatic,1792,1
10,VSM.StaticCasterCull,136960,1
10,VSM.DynamicCasterCull,0,1
10,VSM.PageCull,118272,1
10,VSM.StaticRasterClear,0,1
10,VSM.StaticRasterDraw,4553216,1
10,VSM.DynamicRasterClear,11520,1
10,VSM.DynamicRasterDraw,0,1
10,VSM.StaticRaster,4553728,1
10,VSM.UnityCompatibilityRaster,0,0
10,VSM.Resolve,5526272,1
10,VSM.ResolveTrace,5015808,1
10,VSM.FilterHorizontal,68096,1
10,VSM.FilterVertical,0,0
10,VSM.FilterTemporalVertical,72192,1
10,VSM.ResetFeedback,2304,1
11,VSM.MarkReceiverPages,536064,1
11,VSM.Allocate,2102272,1
11,VSM.ClearPhysicalPages,267264,1
11,VSM.PageOccupancy,73472,1
11,VSM.FinalizePages,2816,1
11,VSM.DynamicRaster,12544,1
11,VSM.LayoutRemap,2304,1
11,VSM.InvalidateStatic,2304,1
11,VSM.StaticCasterCull,130048,1
11,VSM.DynamicCasterCull,256,1
11,VSM.PageCull,110592,1
11,VSM.StaticRasterClear,0,1
11,VSM.StaticRasterDraw,4201216,1
11,VSM.DynamicRasterClear,12544,1
11,VSM.DynamicRasterDraw,0,1
11,VSM.StaticRaster,4201472,1
11,VSM.UnityCompatibilityRaster,0,0
11,VSM.Resolve,4870144,1
11,VSM.ResolveTrace,4733184,1
11,VSM.FilterHorizontal,62976,1
11,VSM.FilterVertical,0,0
11,VSM.FilterTemporalVertical,72704,1
11,VSM.ResetFeedback,2048,1
12,VSM.MarkReceiverPages,905472,1
12,VSM.Allocate,2122496,1
12,VSM.ClearPhysicalPages,267520,1
12,VSM.PageOccupancy,67840,1
12,VSM.FinalizePages,2304,1
12,VSM.DynamicRaster,11776,1
12,VSM.LayoutRemap,2560,1
12,VSM.InvalidateStatic,2048,1
12,VSM.StaticCasterCull,133120,1
12,VSM.DynamicCasterCull,0,1
12,VSM.PageCull,114176,1
12,VSM.StaticRasterClear,256,1
12,VSM.StaticRasterDraw,5028608,1
12,VSM.DynamicRasterClear,11776,1
12,VSM.DynamicRasterDraw,0,1
12,VSM.StaticRaster,5028864,1
12,VSM.UnityCompatibilityRaster,0,0
12,VSM.Resolve,4294400,1
12,VSM.ResolveTrace,4158464,1
12,VSM.FilterHorizontal,63488,1
12,VSM.FilterVertical,0,0
12,VSM.FilterTemporalVertical,71168,1
12,VSM.ResetFeedback,2304,1
13,VSM.MarkReceiverPages,945920,1
13,VSM.Allocate,2138112,1
13,VSM.ClearPhysicalPages,507136,1
13,VSM.PageOccupancy,65792,1
13,VSM.FinalizePages,2560,1
13,VSM.DynamicRaster,12288,1
13,VSM.LayoutRemap,2304,1
13,VSM.InvalidateStatic,2048,1
13,VSM.StaticCasterCull,130048,1
13,VSM.DynamicCasterCull,0,1
13,VSM.PageCull,109568,1
13,VSM.StaticRasterClear,256,1
13,VSM.StaticRasterDraw,4754944,1
13,VSM.DynamicRasterClear,12288,1
13,VSM.DynamicRasterDraw,0,1
13,VSM.StaticRaster,4755200,1
13,VSM.UnityCompatibilityRaster,0,0
13,VSM.Resolve,4883968,1
13,VSM.ResolveTrace,4743424,1
13,VSM.FilterHorizontal,66816,1
13,VSM.FilterVertical,0,0
13,VSM.FilterTemporalVertical,72448,1
13,VSM.ResetFeedback,2304,1
14,VSM.MarkReceiverPages,880640,1
14,VSM.Allocate,2123520,1
14,VSM.ClearPhysicalPages,266752,1
14,VSM.PageOccupancy,61440,1
14,VSM.FinalizePages,3072,1
14,VSM.DynamicRaster,13056,1
14,VSM.LayoutRemap,2304,1
14,VSM.InvalidateStatic,2048,1
14,VSM.StaticCasterCull,130048,1
14,VSM.DynamicCasterCull,0,1
14,VSM.PageCull,110848,1
14,VSM.StaticRasterClear,256,1
14,VSM.StaticRasterDraw,4587520,1
14,VSM.DynamicRasterClear,13056,1
14,VSM.DynamicRasterDraw,0,1
14,VSM.StaticRaster,4587776,1
14,VSM.UnityCompatibilityRaster,0,0
14,VSM.Resolve,5175552,1
14,VSM.ResolveTrace,4798208,1
14,VSM.FilterHorizontal,302080,1
