observation,editor_time,camera_cpu_ms,marker,gpu_ns,gpu_sample_count
74,570.5615363,1.97749999995267,VSM.FilterVertical,0,0
74,570.5615363,1.97749999995267,VSM.FilterTemporalVertical,157440,1
74,570.5615363,1.97749999995267,VSM.ResetFeedback,0,1
75,570.57680799999991,2.3620999999138803,VSM.MarkReceiverPages,748544,1
75,570.57680799999991,2.3620999999138803,VSM.AllocationPrepare,9472,1
75,570.57680799999991,2.3620999999138803,VSM.AllocationCommit,607488,1
75,570.57680799999991,2.3620999999138803,VSM.Allocate,617216,1
75,570.57680799999991,2.3620999999138803,VSM.ClearPhysicalPages,120576,1
75,570.57680799999991,2.3620999999138803,VSM.PageOccupancy,2560,1
75,570.57680799999991,2.3620999999138803,VSM.FinalizePages,1536,1
75,570.57680799999991,2.3620999999138803,VSM.DynamicRaster,7424,1
75,570.57680799999991,2.3620999999138803,VSM.LayoutRemap,0,1
75,570.57680799999991,2.3620999999138803,VSM.InvalidateStatic,0,0
75,570.57680799999991,2.3620999999138803,VSM.InvalidateDynamic,0,1
75,570.57680799999991,2.3620999999138803,VSM.StaticCasterCull,206336,1
75,570.57680799999991,2.3620999999138803,VSM.DynamicCasterCull,118016,1
75,570.57680799999991,2.3620999999138803,VSM.PageCull,290304,2
75,570.57680799999991,2.3620999999138803,VSM.StaticRasterClear,0,1
75,570.57680799999991,2.3620999999138803,VSM.StaticRasterDraw,3328,1
75,570.57680799999991,2.3620999999138803,VSM.DynamicRasterClear,0,1
75,570.57680799999991,2.3620999999138803,VSM.DynamicRasterDraw,7168,1
75,570.57680799999991,2.3620999999138803,VSM.StaticRaster,3328,1
75,570.57680799999991,2.3620999999138803,VSM.UnityCompatibilityRaster,0,0
75,570.57680799999991,2.3620999999138803,VSM.Resolve,6043136,1
75,570.57680799999991,2.3620999999138803,VSM.ResolveTrace,5816576,1
75,570.57680799999991,2.3620999999138803,VSM.FilterHorizontal,65536,1
75,570.57680799999991,2.3620999999138803,VSM.FilterVertical,0,0
75,570.57680799999991,2.3620999999138803,VSM.FilterTemporalVertical,159744,1
75,570.57680799999991,2.3620999999138803,VSM.ResetFeedback,0,1
