id,scene,resolution,budget,cap,rays,old_fp,new_fp,old_fn,new_fn,changed,new_mean_reads
387,sloped_sheet,512,8,2,12480,0,0,0,0,0,4.627163461538461
392,gap_trap,64,4,2,12480,504,504,0,0,0,4.104246794871795
393,gap_trap,64,8,2,12480,504,504,0,0,0,4.660657051282051
398,gap_trap,128,4,2,12480,471,471,0,0,0,4.922516025641026
400,gap_trap,128,8,2,12480,0,0,51,51,0,6.365304487179487
406,gap_trap,256,4,2,12480,453,447,0,0,6,6.0383012820512825
409,gap_trap,256,8,2,12480,15,15,60,60,0,8.018830128205128
416,gap_trap,512,4,2,12480,462,459,0,0,3,7.633894230769231
417,gap_trap,512,8,2,12480,15,15,51,51,0,9.842147435897436
422,gap_hidden,64,4,2,12480,378,378,234,234,0,4.104246794871795
423,gap_hidden,64,8,2,12480,378,378,234,234,0,4.660657051282051
428,gap_hidden,128,4,2,12480,300,300,252,252,0,4.922516025641026
430,gap_hidden,128,8,2,12480,0,0,474,474,0,6.365304487179487
436,gap_hidden,256,4,2,12480,303,300,168,171,6,6.0383012820512825
439,gap_hidden,256,8,2,12480,0,0,363,363,0,8.018830128205128
446,gap_hidden,512,4,2,12480,318,318,150,153,3,7.633894230769231
447,gap_hidden,512,8,2,12480,0,0,330,330,0,9.842147435897436
4,empty,64,4,4,12480,0,0,0,0,0,7.959695512820513
5,empty,64,8,4,12480,0,0,0,0,0,9.25360576923077
10,empty,128,4,4,12480,0,0,0,0,0,9.549198717948718
12,empty,128,8,4,12480,0,0,0,0,0,12.05889423076923
18,empty,256,4,4,12480,0,0,0,0,0,11.085096153846154
21,empty,256,8,4,12480,0,0,0,0,0,14.833653846153846
28,empty,512,4,4,12480,0,0,0,0,0,12.704246794871795
29,empty,512,8,4,12480,0,0,0,0,0,17.62676282051282
34,flat_receiver,64,4,4,12480,0,0,0,0,0,7.959695512820513
35,flat_receiver,64,8,4,12480,0,0,0,0,0,9.25360576923077
40,flat_receiver,128,4,4,12480,0,0,0,0,0,9.549198717948718
42,flat_receiver,128,8,4,12480,0,0,0,0,0,12.05889423076923
48,flat_receiver,256,4,4,12480,0,0,0,0,0,11.085096153846154
51,flat_receiver,256,8,4,12480,0,0,0,0,0,14.833653846153846
58,flat_receiver,512,4,4,12480,0,0,0,0,0,12.704246794871795
59,flat_receiver,512,8,4,12480,0,0,0,0,0,17.62676282051282
64,slope_receiver,64,4,4,12480,0,0,0,0,0,7.959695512820513
65,slope_receiver,64,8,4,12480,0,0,0,0,0,9.25360576923077
70,slope_receiver,128,4,4,12480,0,0,0,0,0,9.549198717948718
72,slope_receiver,128,8,4,12480,0,0,0,0,0,12.05889423076923
78,slope_receiver,256,4,4,12480,0,0,0,0,0,11.085096153846154
81,slope_receiver,256,8,4,12480,0,0,0,0,0,14.833653846153846
88,slope_receiver,512,4,4,12480,0,0,0,0,0,12.704246794871795
89,slope_receiver,512,8,4,12480,0,0,0,0,0,17.62676282051282
94,steep_receiver,64,4,4,12480,0,0,0,0,0,7.959695512820513
95,steep_receiver,64,8,4,12480,0,0,0,0,0,9.25360576923077
100,steep_receiver,128,4,4,12480,0,0,0,0,0,9.549198717948718
102,steep_receiver,128,8,4,12480,0,0,0,0,0,12.05889423076923
108,steep_receiver,256,4,4,12480,0,0,0,0,0,11.085096153846154
111,steep_receiver,256,8,4,12480,0,0,0,0,0,14.833653846153846
118,steep_receiver,512,4,4,12480,0,0,0,0,0,12.704246794871795
119,steep_receiver,512,8,4,12480,0,0,0,0,0,17.62676282051282
124,thin_sheet,64,4,4,12480,0,0,0,0,0,4.832451923076923
125,thin_sheet,64,8,4,12480,0,0,0,0,0,5.473878205128205
130,thin_sheet,128,4,4,12480,27,27,0,0,0,6.432051282051282
132,thin_sheet,128,8,4,12480,0,0,0,0,0,7.330849358974359
138,thin_sheet,256,4,4,12480,0,0,0,0,0,7.983653846153846
141,thin_sheet,256,8,4,12480,0,0,0,0,0,9.532532051282052
148,thin_sheet,512,4,4,12480,6,3,0,0,3,9.590705128205128
149,thin_sheet,512,8,4,12480,3,3,0,0,0,12.302884615384615
154,solid_block,64,4,4,12480,0,0,234,234,0,4.832451923076923
155,solid_block,64,8,4,12480,0,0,234,234,0,5.473878205128205
160,solid_block,128,4,4,12480,0,0,216,216,0,6.432051282051282
162,solid_block,128,8,4,12480,0,0,243,243,0,7.330849358974359
168,solid_block,256,4,4,12480,0,0,246,246,0,7.983653846153846
171,solid_block,256,8,4,12480,0,0,246,246,0,9.532532051282052
178,solid_block,512,4,4,12480,0,0,228,231,3,9.590705128205128
179,solid_block,512,8,4,12480,0,0,231,231,0,12.302884615384615
184,contact,64,4,4,12480,0,0,0,0,0,4.43036858974359
185,contact,64,8,4,12480,0,0,0,0,0,5.0598557692307695
190,contact,128,4,4,12480,0,0,0,0,0,5.211217948717949
192,contact,128,8,4,12480,0,0,0,0,0,6.443509615384615
198,contact,256,4,4,12480,0,0,0,0,0,5.965625
201,contact,256,8,4,12480,0,0,0,0,0,7.810336538461539
208,contact,512,4,4,12480,0,0,0,0,0,6.763862179487179
209,contact,512,8,4,12480,0,0,0,0,0,9.183253205128205
218,far_sheet,64,4,4,12480,0,0,0,0,0,6.454326923076923
220,far_sheet,64,8,4,12480,0,0,0,0,0,6.741346153846154
230,far_sheet,128,4,4,12480,39,18,0,0,21,8.06073717948718
234,far_sheet,128,8,4,12480,18,18,0,0,0,9.560096153846153
246,far_sheet,256,4,4,12480,24,9,0,0,15,9.600801282051282
250,far_sheet,256,8,4,12480,9,9,0,0,0,12.363141025641026
262,far_sheet,512,4,4,12480,36,6,0,0,30,11.228846153846154
265,far_sheet,512,8,4,12480,9,6,0,0,3,15.163782051282052
272,thin_rod,64,4,4,12480,0,0,327,327,0,7.959695512820513
273,thin_rod,64,8,4,12480,0,0,327,327,0,9.25360576923077
278,thin_rod,128,4,4,12480,0,0,348,348,0,9.549198717948718
280,thin_rod,128,8,4,12480,0,0,348,348,0,12.05889423076923
286,thin_rod,256,4,4,12480,0,0,369,369,0,11.085096153846154
289,thin_rod,256,8,4,12480,0,0,369,369,0,14.833653846153846
296,thin_rod,512,4,4,12480,0,0,366,366,0,12.704246794871795
297,thin_rod,512,8,4,12480,0,0,366,366,0,17.62676282051282
302,disconnected,64,4,4,12480,600,600,0,0,0,1.2627403846153846
303,disconnected,64,8,4,12480,600,600,0,0,0,1.2911057692307693
308,disconnected,128,4,4,12480,426,426,54,54,0,2.366826923076923
310,disconnected,128,8,4,12480,0,0,147,147,0,2.3829326923076923
316,disconnected,256,4,4,12480,390,390,93,93,0,3.594471153846154
319,disconnected,256,8,4,12480,0,0,219,219,0,3.5587339743589745
326,disconnected,512,4,4,12480,414,405,96,96,9,5.250320512820513
327,disconnected,512,8,4,12480,30,30,93,93,0,5.37588141025641
332,overlap,64,4,4,12480,696,696,234,234,0,4.921794871794872
333,overlap,64,8,4,12480,696,696,234,234,0,5.605128205128205
338,overlap,128,4,4,12480,435,435,282,282,0,6.55625
340,overlap,128,8,4,12480,0,0,393,393,0,8.14911858974359
346,overlap,256,4,4,12480,420,420,288,288,0,7.995833333333334
349,overlap,256,8,4,12480,0,0,393,393,0,10.336778846153846
356,overlap,512,4,4,12480,438,438,246,249,3,9.603926282051281
357,overlap,512,8,4,12480,21,21,234,234,0,12.720032051282052
362,sloped_sheet,64,4,4,12480,0,0,0,0,0,1.0491987179487179
363,sloped_sheet,64,8,4,12480,0,0,0,0,0,1.0491987179487179
368,sloped_sheet,128,4,4,12480,0,0,0,0,0,1.6920673076923076
370,sloped_sheet,128,8,4,12480,0,0,0,0,0,1.6918269230769232
376,sloped_sheet,256,4,4,12480,0,0,0,0,0,3.212660256410256
379,sloped_sheet,256,8,4,12480,0,0,0,0,0,2.5919070512820515
386,sloped_sheet,512,4,4,12480,0,0,0,0,0,4.875
387,sloped_sheet,512,8,4,12480,0,0,0,0,0,4.627163461538461
