pool,physical_page,virtual_page,clipmap,occupied_slots,nonempty_texels,empty_texels,last_layer_nonempty,max_occupied_layers,slot_fraction,last_layer_fraction,layer_counts,occupancy_histogram
static,38,907,3,156729,16384,0,709,16,0.5978736877441406,0.04327392578125,16384 16384 16384 16384 16384 16384 16384 16384 16384 1893 1753 1496 1442 1207 773 709,0 0 0 0 0 0 0 0 0 14491 140 257 54 235 434 64 709
static,39,916,3,172589,16384,0,0,13,0.6583747863769531,0.0,16384 16384 16384 16384 16384 16384 16384 16384 16384 6592 6591 5975 5975 0 0 0,0 0 0 0 0 0 0 0 0 9792 1 616 0 5975 0 0 0
static,40,918,3,221387,16384,0,9565,16,0.8445243835449219,0.58380126953125,16384 16384 16384 16384 16249 15462 14757 14505 13965 13621 13325 11992 11464 10709 10237 9565,0 0 0 0 135 787 705 252 540 344 296 1333 528 755 472 672 9565
static,41,919,3,77736,16384,0,0,15,0.296539306640625,0.0,16384 16384 16384 16384 3534 3191 1669 1445 1067 686 361 156 61 26 4 0,0 0 0 0 12850 343 1522 224 378 381 325 205 95 35 22 4 0
static,42,920,3,65536,16384,0,0,4,0.25,0.0,16384 16384 16384 16384 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 16384 0 0 0 0 0 0 0 0 0 0 0 0
static,43,921,3,68110,16384,0,0,8,0.25981903076171875,0.0,16384 16384 16384 16384 1049 1049 238 238 0 0 0 0 0 0 0 0,0 0 0 0 15335 0 811 0 238 0 0 0 0 0 0 0 0
static,44,922,3,229131,16384,0,10544,16,0.8740653991699219,0.6435546875,16384 16384 16384 16384 16384 16384 16192 16192 13751 13705 13399 12491 12145 11313 11095 10544,0 0 0 0 0 0 192 0 2441 46 306 908 346 832 218 551 10544
static,45,923,3,171948,16384,0,2851,16,0.6559295654296875,0.17401123046875,16384 16384 16384 16384 16384 16384 16384 16384 16384 4104 4059 3617 3597 3163 3101 2851,0 0 0 0 0 0 0 0 0 12280 45 442 20 434 62 250 2851
static,46,932,3,165514,16384,0,0,13,0.6313858032226562,0.0,16384 16384 16384 16384 16384 16384 16384 16384 16384 4822 4822 4207 4207 0 0 0,0 0 0 0 0 0 0 0 0 11562 0 615 0 4207 0 0 0
static,47,934,3,213587,16384,0,6964,16,0.8147697448730469,0.425048828125,16384 16384 16384 16384 16384 16384 16067 15486 14300 13608 12782 10535 9916 7985 7640 6964,0 0 0 0 0 0 317 581 1186 692 826 2247 619 1931 345 676 6964
static,48,935,3,102353,16384,0,0,14,0.3904457092285156,0.0,16384 16384 16384 16384 9969 9969 7680 6622 1524 823 128 87 9 6 0 0,0 0 0 0 6415 0 2289 1058 5098 701 695 41 78 3 6 0 0
static,49,936,3,81088,16384,0,0,9,0.309326171875,0.0,16384 16384 16384 16384 4563 4563 3598 2549 279 0 0 0 0 0 0 0,0 0 0 0 11821 0 965 1049 2270 279 0 0 0 0 0 0 0
static,50,937,3,91142,16384,0,0,9,0.34767913818359375,0.0,16384 16384 16384 16384 7263 7263 5838 4787 455 0 0 0 0 0 0 0,0 0 0 0 9121 0 1425 1051 4332 455 0 0 0 0 0 0 0
static,51,938,3,224119,16384,0,8964,16,0.8549461364746094,0.547119140625,16384 16384 16384 16384 16211 16211 15784 15723 14116 14024 13082 12629 11279 10379 10181 8964,0 0 0 0 173 0 427 61 1607 92 942 453 1350 900 198 1217 8964
static,52,939,3,178333,16384,0,2216,16,0.6802864074707031,0.13525390625,16384 16384 16384 16384 16384 16384 16384 16384 16384 5538 5538 4908 4908 4531 3238 2216,0 0 0 0 0 0 0 0 0 10846 0 630 0 377 1293 1022 2216
static,53,948,3,168487,16384,0,1045,16,0.6427268981933594,0.06378173828125,16384 16384 16384 16384 16384 16384 16384 16384 16384 4619 4619 3457 3457 2011 1823 1045,0 0 0 0 0 0 0 0 0 11765 0 1162 0 1446 188 778 1045
static,54,949,3,230366,16384,0,3613,16,0.8787765502929688,0.22052001953125,16384 16384 16384 16384 16384 16384 16384 16384 16384 16384 16384 15043 13758 10673 7055 3613,0 0 0 0 0 0 0 0 0 0 0 1341 1285 3085 3618 3442 3613
static,55,950,3,215366,16384,0,5630,16,0.8215560913085938,0.3436279296875,16384 16384 16384 16384 16384 16384 16313 16117 15393 14909 13811 10322 9825 7715 7027 5630,0 0 0 0 0 0 71 196 724 484 1098 3489 497 2110 688 1397 5630
static,56,951,3,134441,16384,0,0,14,0.5128517150878906,0.0,16384 16384 16384 16384 16384 16384 12321 12321 8138 2576 620 127 20 14 0 0,0 0 0 0 0 0 4063 0 4183 5562 1956 493 107 6 14 0 0
static,57,952,3,143758,16384,0,28,16,0.5483932495117188,0.001708984375,16384 16384 16384 16384 16384 16384 13629 13629 9508 5273 2246 596 331 135 79 28,0 0 0 0 0 0 2755 0 4121 4235 3027 1650 265 196 56 51 28
static,58,953,3,132606,16384,0,0,13,0.5058517456054688,0.0,16384 16384 16384 16384 16384 16384 11182 11181 8795 2532 595 14 3 0 0 0,0 0 0 0 0 0 5202 1 2386 6263 1937 581 11 3 0 0 0
static,59,954,3,223155,16384,0,9599,16,0.8512687683105469,0.58587646484375,16384 16384 16384 16384 16384 16384 15168 15168 14498 13488 12640 12268 11722 10449 9851 9599,0 0 0 0 0 0 1216 0 670 1010 848 372 546 1273 598 252 9599
static,60,955,3,188091,16384,0,4178,16,0.7175102233886719,0.2550048828125,16384 16384 16384 16384 16384 16384 16384 16384 16384 7065 7065 6442 6442 4792 4651 4178,0 0 0 0 0 0 0 0 0 9319 0 623 0 1650 141 473 4178
static,61,967,3,125212,16384,0,1,16,0.4776458740234375,6.103515625e-05,16384 16384 16384 16384 16384 16384 8099 7152 5722 3211 2152 474 84 12 1 1,0 0 0 0 0 0 8285 947 1430 2511 1059 1678 390 72 11 0 1
static,62,635,2,232976,16384,0,10174,16,0.88873291015625,0.6209716796875,16384 16384 16384 16384 16384 16384 16384 16384 16150 16082 16082 11235 11149 10794 10238 10174,0 0 0 0 0 0 0 0 234 68 0 4847 86 355 556 64 10174
static,63,643,2,259914,16384,0,14673,16,0.9914932250976562,0.89556884765625,16384 16384 16384 16384 16384 16384 16384 16384 16384 16384 16384 16384 16384 16358 15891 14673,0 0 0 0 0 0 0 0 0 0 0 0 0 26 467 1218 14673
static,64,644,2,128791,16384,0,1283,16,0.4912986755371094,0.07830810546875,16384 16384 16384 16384 8846 8846 7925 7925 6202 6176 4632 3833 3148 2536 1903 1283,0 0 0 0 7538 0 921 0 1723 26 1544 799 685 612 633 620 1283
static,65,651,2,215631,16384,0,7727,16,0.8225669860839844,0.47161865234375,16384 16384 16384 16384 16384 16384 16384 16384 14589 14466 14307 9039 8333 8275 7823 7727,0 0 0 0 0 0 0 0 1795 123 159 5268 706 58 452 96 7727
static,66,652,2,260394,16384,0,15509,16,0.9933242797851562,0.94659423828125,16384 16384 16384 16384 16384 16384 16384 16384 16384 16384 16384 16384 16384 16384 15509 15509,0 0 0 0 0 0 0 0 0 0 0 0 0 0 875 0 15509
static,67,659,2,257596,16384,0,12775,16,0.9826507568359375,0.77972412109375,16384 16384 16384 16384 16384 16384 16384 16384 16384 16384 16384 16384 16384 15947 15882 12775,0 0 0 0 0 0 0 0 0 0 0 0 0 437 65 3107 12775
static,68,660,2,148105,16384,0,3660,16,0.5649757385253906,0.223388671875,16384 16384 16384 16384 10910 10383 8772 8767 6867 6860 6226 5985 5201 4885 4053 3660,0 0 0 0 5474 527 1611 5 1900 7 634 241 784 316 832 393 3660
static,69,661,2,73985,16384,0,0,14,0.2822303771972656,0.0,16384 16384 16384 16384 3521 2435 773 768 456 456 11 11 9 9 0 0,0 0 0 0 12863 1086 1662 5 312 0 445 0 2 0 9 0 0
static,70,667,2,226490,16384,0,8904,16,0.8639907836914062,0.54345703125,16384 16384 16384 16384 16384 16384 16384 16384 14423 14371 13767 13046 11356 9967 9584 8904,0 0 0 0 0 0 0 0 1961 52 604 721 1690 1389 383 680 8904
static,71,668,2,262144,16384,0,16384,16,1.0,1.0,16384 16384 16384 16384 16384 16384 16384 16384 16384 16384 16384 16384 16384 16384 16384 16384,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 16384
static,72,675,2,258062,16384,0,14702,16,0.9844284057617188,0.8973388671875,16384 16384 16384 16384 16384 16384 16384 16384 16384 16384 16384 16118 16118 15450 15450 14702,0 0 0 0 0 0 0 0 0 0 0 266 0 668 0 748 14702
static,73,676,2,183178,16384,0,5039,16,0.6987686157226562,0.30755615234375,16384 16384 16384 16384 15839 13259 12819 11957 11627 10365 9883 7473 7075 6701 5605 5039,0 0 0 0 545 2580 440 862 330 1262 482 2410 398 374 1096 566 5039
static,74,677,2,103522,16384,0,1,16,0.39490509033203125,6.103515625e-05,16384 16384 16384 16384 8642 7485 6701 5751 4241 2716 1441 637 253 102 16 1,0 0 0 0 7742 1157 784 950 1510 1525 1275 804 384 151 86 15 1
static,75,683,2,213439,16384,0,6886,16,0.8142051696777344,0.4202880859375,16384 16384 16384 16384 16384 16384 16384 16384 12456 12389 11775 11446 10321 8710 8384 6886,0 0 0 0 0 0 0 0 3928 67 614 329 1125 1611 326 1498 6886
static,76,684,2,262144,16384,0,16384,16,1.0,1.0,16384 16384 16384 16384 16384 16384 16384 16384 16384 16384 16384 16384 16384 16384 16384 16384,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 16384
static,77,691,2,249333,16384,0,12574,16,0.9511299133300781,0.7674560546875,16384 16384 16384 16384 16384 16384 16384 16384 16384 16384 16384 14756 14756 13545 13478 12574,0 0 0 0 0 0 0 0 0 0 0 1628 0 1211 67 904 12574
static,78,692,2,195243,16384,0,5981,16,0.7447929382324219,0.36505126953125,16384 16384 16384 16384 16384 15802 13444 13308 11491 11424 10684 9628 7949 7199 6413 5981,0 0 0 0 0 582 2358 136 1817 67 740 1056 1679 750 786 432 5981
static,79,693,2,76367,16384,0,0,6,0.2913169860839844,0.0,16384 16384 16384 16384 5512 5319 0 0 0 0 0 0 0 0 0 0,0 0 0 0 10872 193 5319 0 0 0 0 0 0 0 0 0 0
static,80,699,2,178711,16384,0,2530,16,0.6817283630371094,0.1544189453125,16384 16384 16384 16384 16384 16384 15618 15618 9779 9667 9047 5736 5464 3744 3204 2530,0 0 0 0 0 0 766 0 5839 112 620 3311 272 1720 540 674 2530
static,81,700,2,262144,16384,0,16384,16,1.0,1.0,16384 16384 16384 16384 16384 16384 16384 16384 16384 16384 16384 16384 16384 16384 16384 16384,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 16384
static,82,708,2,195565,16384,0,4829,16,0.7460212707519531,0.29473876953125,16384 16384 16384 16384 16384 16384 15718 14944 13577 12076 10042 8394 6641 5814 5226 4829,0 0 0 0 0 0 666 774 1367 1501 2034 1648 1753 827 588 397 4829
static,83,709,2,101104,16384,0,0,14,0.38568115234375,0.0,16384 16384 16384 16384 10217 10217 6934 5216 1732 887 167 146 26 26 0 0,0 0 0 0 6167 0 3283 1718 3484 845 720 21 120 0 26 0 0
static,84,715,2,183082,16384,0,3224,16,0.6984024047851562,0.19677734375,16384 16384 16384 16384 15686 15686 14372 14322 10440 10166 9128 7347 6722 5431 5022 3224,0 0 0 0 698 0 1314 50 3882 274 1038 1781 625 1291 409 1798 3224
static,85,716,2,262072,16384,0,16312,16,0.999725341796875,0.99560546875,16384 16384 16384 16384 16384 16384 16384 16384 16384 16384 16384 16384 16384 16384 16384 16312,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 72 16312
static,86,2183,8,18074,3221,13163,99,16,0.06894683837890625,0.00604248046875,3221 3169 3151 1752 1314 995 927 851 813 510 471 289 269 124 119 99,13163 52 18 1399 438 319 68 76 38 303 39 182 20 145 5 20 99
static,87,2184,8,19095,3388,12996,138,16,0.07284164428710938,0.0084228515625,3388 3167 3167 1907 1590 1184 1127 1002 926 389 321 251 210 172 156 138,12996 221 0 1260 317 406 57 125 76 537 68 70 41 38 16 18 138
static,88,1927,7,64165,10237,6147,376,16,0.24477005004882812,0.02294921875,10237 10237 10180 6607 5107 3962 3735 3405 3251 2047 1879 1136 1052 504 450 376,6147 0 57 3573 1500 1145 227 330 154 1204 168 743 84 548 54 74 376
static,89,1928,7,68438,10721,5663,572,16,0.26107025146484375,0.034912109375,10721 10306 10306 7264 6292 4736 4500 4039 3718 1558 1291 996 829 684 626 572,5663 415 0 3042 972 1556 236 461 321 2160 267 295 167 145 58 54 572
static,90,1671,6,123399,16384,0,1169,16,0.4707298278808594,0.07135009765625,16384 16384 16384 14099 9770 8193 7920 7629 7480 4898 4684 2913 2836 1360 1296 1169,0 0 0 2285 4329 1577 273 291 149 2582 214 1771 77 1476 64 127 1169
static,91,1672,6,120037,16384,0,1639,16,0.4579048156738281,0.10003662109375,16384 16384 16384 12610 9422 8997 8839 8679 8226 2658 2340 2060 1923 1787 1705 1639,0 0 0 3774 3188 425 158 160 453 5568 318 280 137 136 82 66 1639
static,92,1687,6,108952,16384,0,332,16,0.415618896484375,0.020263671875,16384 16384 16384 12330 10648 7626 7018 5987 5516 3316 2880 1620 1390 632 505 332,0 0 0 4054 1682 3022 608 1031 471 2200 436 1260 230 758 127 173 332
static,93,1688,6,121548,16384,0,642,16,0.4636688232421875,0.0391845703125,16384 16384 16384 13901 13221 10001 9174 7434 6591 3625 2777 1899 1380 948 803 642,0 0 0 2483 680 3220 827 1740 843 2966 848 878 519 432 145 161 642
static,94,1414,5,85864,16384,0,0,14,0.327545166015625,0.0,16384 16384 16384 10929 7762 4767 4540 4069 3963 481 152 36 11 2 0 0,0 0 0 5455 3167 2995 227 471 106 3482 329 116 25 9 2 0 0
static,95,1415,5,160068,16384,0,2359,16,0.6106109619140625,0.14398193359375,16384 16384 16384 16384 11922 11752 11300 11246 11040 9186 9067 5744 5633 2704 2579 2359,0 0 0 0 4462 170 452 54 206 1854 119 3323 111 2929 125 220 2359
static,96,1416,5,136292,16384,0,3329,16,0.5199127197265625,0.20318603515625,16384 16384 16384 16384 9153 9153 8863 8863 8162 4336 4278 3859 3775 3558 3427 3329,0 0 0 0 7231 0 290 0 701 3826 58 419 84 217 131 98 3329
static,97,1417,5,104043,16384,0,5,16,0.3968925476074219,0.00030517578125,16384 16384 16384 9721 9721 8687 8687 8344 8106 881 344 233 98 53 11 5,0 0 0 6663 0 1034 0 343 238 7225 537 111 135 45 42 6 5
