observation,editor_time,camera_cpu_ms,marker,gpu_ns,gpu_sample_count
30,425.6947947,4.6873999999661464,VSM.ResolveTrace,7280896,1
30,425.6947947,4.6873999999661464,VSM.FilterHorizontal,67584,1
30,425.6947947,4.6873999999661464,VSM.FilterVertical,0,0
30,425.6947947,4.6873999999661464,VSM.FilterTemporalVertical,162816,1
30,425.6947947,4.6873999999661464,VSM.ResetFeedback,0,1
31,425.7285117,4.3739999999843349,VSM.MarkReceiverPages,627968,1
31,425.7285117,4.3739999999843349,VSM.AllocationPrepare,10496,1
31,425.7285117,4.3739999999843349,VSM.AllocationCommit,634880,1
31,425.7285117,4.3739999999843349,VSM.Allocate,1193984,1
31,425.7285117,4.3739999999843349,VSM.ClearPhysicalPages,475392,1
31,425.7285117,4.3739999999843349,VSM.PageOccupancy,70656,1
31,425.7285117,4.3739999999843349,VSM.FinalizePages,1792,1
31,425.7285117,4.3739999999843349,VSM.DynamicRaster,26112,1
31,425.7285117,4.3739999999843349,VSM.LayoutRemap,0,1
31,425.7285117,4.3739999999843349,VSM.InvalidateStatic,148736,1
31,425.7285117,4.3739999999843349,VSM.InvalidateDynamic,1536,1
31,425.7285117,4.3739999999843349,VSM.StaticCasterCull,176384,1
31,425.7285117,4.3739999999843349,VSM.DynamicCasterCull,129792,1
31,425.7285117,4.3739999999843349,VSM.PageCull,264960,2
31,425.7285117,4.3739999999843349,VSM.StaticRasterClear,256,1
31,425.7285117,4.3739999999843349,VSM.StaticRasterDraw,13733632,1
31,425.7285117,4.3739999999843349,VSM.DynamicRasterClear,2048,1
31,425.7285117,4.3739999999843349,VSM.DynamicRasterDraw,23808,1
31,425.7285117,4.3739999999843349,VSM.StaticRaster,13733888,1
31,425.7285117,4.3739999999843349,VSM.UnityCompatibilityRaster,0,0
31,425.7285117,4.3739999999843349,VSM.Resolve,6698496,1
31,425.7285117,4.3739999999843349,VSM.ResolveTrace,6471680,1
31,425.7285117,4.3739999999843349,VSM.FilterHorizontal,67328,1
31,425.7285117,4.3739999999843349,VSM.FilterVertical,0,0
31,425.7285117,4.3739999999843349,VSM.FilterTemporalVertical,158720,1
31,425.7285117,4.3739999999843349,VSM.ResetFeedback,0,1
32,425.7615048,3.332899999975325,VSM.MarkReceiverPages,628992,1
32,425.7615048,3.332899999975325,VSM.AllocationPrepare,10240,1
32,425.7615048,3.332899999975325,VSM.AllocationCommit,635904,1
32,425.7615048,3.332899999975325,VSM.Allocate,945152,1
32,425.7615048,3.332899999975325,VSM.ClearPhysicalPages,473088,1
32,425.7615048,3.332899999975325,VSM.PageOccupancy,69632,1
32,425.7615048,3.332899999975325,VSM.FinalizePages,2048,1
32,425.7615048,3.332899999975325,VSM.DynamicRaster,26368,1
32,425.7615048,3.332899999975325,VSM.LayoutRemap,0,1
32,425.7615048,3.332899999975325,VSM.InvalidateStatic,148224,1
32,425.7615048,3.332899999975325,VSM.InvalidateDynamic,2304,1
32,425.7615048,3.332899999975325,VSM.StaticCasterCull,179712,1
32,425.7615048,3.332899999975325,VSM.DynamicCasterCull,129280,1
32,425.7615048,3.332899999975325,VSM.PageCull,267008,2
32,425.7615048,3.332899999975325,VSM.StaticRasterClear,256,1
32,425.7615048,3.332899999975325,VSM.StaticRasterDraw,14130944,1
32,425.7615048,3.332899999975325,VSM.DynamicRasterClear,2304,1
32,425.7615048,3.332899999975325,VSM.DynamicRasterDraw,24064,1
32,425.7615048,3.332899999975325,VSM.StaticRaster,14131200,1
32,425.7615048,3.332899999975325,VSM.UnityCompatibilityRaster,0,0
32,425.7615048,3.332899999975325,VSM.Resolve,6398720,1
32,425.7615048,3.332899999975325,VSM.ResolveTrace,6169856,1
32,425.7615048,3.332899999975325,VSM.FilterHorizontal,65536,1
32,425.7615048,3.332899999975325,VSM.FilterVertical,0,0
32,425.7615048,3.332899999975325,VSM.FilterTemporalVertical,162304,1
32,425.7615048,3.332899999975325,VSM.ResetFeedback,0,1
33,425.79463400000003,4.1919000000234519,VSM.MarkReceiverPages,631808,1
33,425.79463400000003,4.1919000000234519,VSM.AllocationPrepare,10496,1
33,425.79463400000003,4.1919000000234519,VSM.AllocationCommit,634368,1
33,425.79463400000003,4.1919000000234519,VSM.Allocate,1018880,1
33,425.79463400000003,4.1919000000234519,VSM.ClearPhysicalPages,474624,1
33,425.79463400000003,4.1919000000234519,VSM.PageOccupancy,73472,1
33,425.79463400000003,4.1919000000234519,VSM.FinalizePages,2048,1
33,425.79463400000003,4.1919000000234519,VSM.DynamicRaster,27392,1
33,425.79463400000003,4.1919000000234519,VSM.LayoutRemap,0,1
33,425.79463400000003,4.1919000000234519,VSM.InvalidateStatic,148736,1
33,425.79463400000003,4.1919000000234519,VSM.InvalidateDynamic,1536,1
33,425.79463400000003,4.1919000000234519,VSM.StaticCasterCull,176640,1
33,425.79463400000003,4.1919000000234519,VSM.DynamicCasterCull,129024,1
33,425.79463400000003,4.1919000000234519,VSM.PageCull,269824,2
33,425.79463400000003,4.1919000000234519,VSM.StaticRasterClear,256,1
33,425.79463400000003,4.1919000000234519,VSM.StaticRasterDraw,14173696,1
33,425.79463400000003,4.1919000000234519,VSM.DynamicRasterClear,3584,1
33,425.79463400000003,4.1919000000234519,VSM.DynamicRasterDraw,23808,1
33,425.79463400000003,4.1919000000234519,VSM.StaticRaster,14174208,1
33,425.79463400000003,4.1919000000234519,VSM.UnityCompatibilityRaster,0,0
33,425.79463400000003,4.1919000000234519,VSM.Resolve,6274816,1
33,425.79463400000003,4.1919000000234519,VSM.ResolveTrace,6043648,1
33,425.79463400000003,4.1919000000234519,VSM.FilterHorizontal,66560,1
