run,configuration,marker,window_medians_ms,median_of_window_medians_ms
timing-moving-light,r4096_p1024_l0_m0,VSM.StaticRaster,"[27.631487999999997, 27.550208]",27.590848
timing-moving-light,r4096_p1024_l0_m0,VSM.DynamicRaster,"[0.027392, 0.027520000000000003]",0.027456
timing-moving-light,r4096_p1024_l0_m0,VSM.Allocate,"[11.29664, 11.297792000000001]",11.297216
timing-moving-light,r4096_p1024_l0_m0,VSM.MarkReceiverPages,"[0.613888, 0.613632]",0.61376
timing-moving-light,r4096_p1024_l0_m1,VSM.ResolveTrace,"[6.780544000000001, 6.790144]",6.785344
timing-moving-light,r4096_p1024_l0_m1,VSM.Resolve,"[6.921216, 7.0261759999999995]",6.973696
timing-moving-light,r4096_p1024_l0_m1,VSM.ClearPhysicalPages,"[0.47372800000000004, 0.4736]",0.47366400000000003
timing-moving-light,r4096_p1024_l0_m1,VSM.PageOccupancy,"[0.180608, 0.1792]",0.179904
timing-moving-light,r4096_p1024_l0_m1,VSM.StaticRaster,"[27.588352, 27.564416]",27.576384
timing-moving-light,r4096_p1024_l0_m1,VSM.DynamicRaster,"[0.028416, 0.026112]",0.027264
timing-moving-light,r4096_p1024_l0_m1,VSM.Allocate,"[11.32352, 11.294848]",11.309184
timing-moving-light,r4096_p1024_l0_m1,VSM.MarkReceiverPages,"[0.614912, 0.6142719999999999]",0.614592
timing-moving-light,r4096_p1024_l0_m2,VSM.ResolveTrace,"[6.4346879999999995, 6.70784]",6.571263999999999
timing-moving-light,r4096_p1024_l0_m2,VSM.Resolve,"[6.586368, 6.871296]",6.728832000000001
timing-moving-light,r4096_p1024_l0_m2,VSM.ClearPhysicalPages,"[0.474112, 0.473472]",0.473792
timing-moving-light,r4096_p1024_l0_m2,VSM.PageOccupancy,"[0.07334399999999999, 0.07270399999999999]",0.07302399999999999
timing-moving-light,r4096_p1024_l0_m2,VSM.StaticRaster,"[27.569536, 27.587328]",27.578432
timing-moving-light,r4096_p1024_l0_m2,VSM.DynamicRaster,"[0.027903999999999998, 0.026368]",0.027136
timing-moving-light,r4096_p1024_l0_m2,VSM.Allocate,"[11.313792, 11.301376]",11.307583999999999
timing-moving-light,r4096_p1024_l0_m2,VSM.MarkReceiverPages,"[0.614144, 0.614656]",0.6144000000000001
timing-moving-light,r4096_p1024_l1_m0,VSM.ResolveTrace,"[21.797248, 20.58624]",21.191744
timing-moving-light,r4096_p1024_l1_m0,VSM.Resolve,"[21.937792, 20.724864]",21.331328
timing-moving-light,r4096_p1024_l1_m0,VSM.ClearPhysicalPages,"[3.196288, 3.1978239999999998]",3.197056
timing-moving-light,r4096_p1024_l1_m0,VSM.PageOccupancy,"[0.20134400000000002, 0.200192]",0.200768
timing-moving-light,r4096_p1024_l1_m0,VSM.StaticRaster,"[34.777727999999996, 34.404224]",34.590976
timing-moving-light,r4096_p1024_l1_m0,VSM.DynamicRaster,"[0.01664, 0.02688]",0.02176
timing-moving-light,r4096_p1024_l1_m0,VSM.Allocate,"[11.2576, 11.257728]",11.257664
timing-moving-light,r4096_p1024_l1_m0,VSM.MarkReceiverPages,"[0.613632, 0.61312]",0.6133759999999999
