observation,marker,gpu_ns,gpu_sample_count
14,VSM.StaticRasterDraw,4365568,1
14,VSM.DynamicRasterClear,11520,1
14,VSM.DynamicRasterDraw,0,1
14,VSM.StaticRaster,4365568,1
14,VSM.UnityCompatibilityRaster,0,0
14,VSM.Resolve,4000000,1
14,VSM.ResolveTrace,3868160,1
14,VSM.FilterHorizontal,61696,1
14,VSM.FilterVertical,0,0
14,VSM.FilterTemporalVertical,70144,1
14,VSM.ResetFeedback,2048,1
15,VSM.MarkReceiverPages,557056,1
15,VSM.Allocate,2106368,1
15,VSM.ClearPhysicalPages,266496,1
15,VSM.PageOccupancy,54272,1
15,VSM.FinalizePages,2304,1
15,VSM.DynamicRaster,12800,1
15,VSM.LayoutRemap,2304,1
15,VSM.InvalidateStatic,2048,1
15,VSM.StaticCasterCull,131840,1
15,VSM.DynamicCasterCull,0,1
15,VSM.PageCull,113152,1
15,VSM.StaticRasterClear,0,1
15,VSM.StaticRasterDraw,4370944,1
15,VSM.DynamicRasterClear,12800,1
15,VSM.DynamicRasterDraw,0,1
15,VSM.StaticRaster,4370944,1
15,VSM.UnityCompatibilityRaster,0,0
15,VSM.Resolve,3996416,1
15,VSM.ResolveTrace,3865344,1
15,VSM.FilterHorizontal,61440,1
15,VSM.FilterVertical,0,0
15,VSM.FilterTemporalVertical,69376,1
15,VSM.ResetFeedback,2048,1
16,VSM.MarkReceiverPages,560640,1
16,VSM.Allocate,2104832,1
16,VSM.ClearPhysicalPages,267264,1
16,VSM.PageOccupancy,54528,1
16,VSM.FinalizePages,2048,1
16,VSM.DynamicRaster,11264,1
16,VSM.LayoutRemap,2048,1
16,VSM.InvalidateStatic,2048,1
16,VSM.StaticCasterCull,125952,1
16,VSM.DynamicCasterCull,0,1
16,VSM.PageCull,107520,1
16,VSM.StaticRasterClear,256,1
16,VSM.StaticRasterDraw,4677632,1
16,VSM.DynamicRasterClear,11264,1
16,VSM.DynamicRasterDraw,0,1
16,VSM.StaticRaster,4677888,1
16,VSM.UnityCompatibilityRaster,0,0
16,VSM.Resolve,4234496,1
16,VSM.ResolveTrace,4100608,1
16,VSM.FilterHorizontal,61696,1
